id,size,premium,reserves,lines,complexity
1,27,7,12.5,140,14
2,16,2.75,4.25,110,13
3,15,2.3,5,90,13
4,14,1.1,1.75,50,11
5,13,3.1,6,25,11
6,11,0.4,0.8,5,6
7,10,1.5,2,40,10
8,10,0.9,1,10,10
9,8,4.75,8.4,200,15
10,8,2,1.1,12,8
11,7,2.75,7.75,150,11
12,7,1.6,3,75,8
13,7,0.9,1.5,70,7
14,7,0.8,0.5,20,5
15,6,1.7,2.8,120,11
16,6,1.6,2.5,40,6
17,6,1.3,2.5,35,6
18,6,0.2,0.5,10,5
19,5,0.05,1,2,5
23,4,1.2,2,70,9
21,4,0.75,1.75,30,7
22,4,0.1,0.25,10,5
24,4,0.08,0,1,3
20,3.5,0.5,0.8,15,3
25,3.5,0.2,0.7,25,6
26,3,0.3,0.8,20,7
27,3,0.35,0.7,10,4
28,3,0.4,0.6,5,3
29,2.5,1.1,0.5,23,4
30,2,0.35,0.7,26,5
31,2,0.3,0.2,24,3
32,2,0.2,0,6,3
33,1.1,0.2,0.1,5,3
34,1,0.1,0.2,4,2
